label,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60
1,-0.964602,-0.951136,-0.909987,-0.867808,-0.876744,-0.902177,-0.803571,-0.9043,-0.926551,-0.903046,-0.942436,-0.777257,-0.643011,-0.810044,-0.880229,-0.848361,-0.828412,-0.780987,-0.846623,-0.90411,-0.718592,-0.285145,-0.190633,0.120377,0.314344,0.443992,0.507091,0.702552,0.943182,0.834026,0.530245,0.52887,0.52893,0.23858,-0.0185128,-0.109073,-0.213645,-0.189352,-0.144845,-0.208715,-0.626636,-0.888889,-0.794905,-0.673022,-0.564117,-0.810752,-0.854401,-0.680144,-0.769813,-0.82303,-0.876494,-0.845934,-0.402597,-0.754386,-0.773243,-0.54359,-0.778409,-1,-0.713499,-0.861432
1,-0.840708,-0.740249,-0.898817,-0.878745,-0.852397,-1,-0.919372,-0.768908,-0.689916,-0.793508,-0.926556,-0.820926,-0.469699,-0.528926,-0.631056,-0.619377,-0.769143,-0.485922,0.121397,0.513699,0.547218,0.69635,0.00646392,-0.300482,0.174795,0.620002,1,0.726842,0.249391,-0.152445,-0.246213,-0.51202,-0.508558,-0.485109,-0.481641,-0.472177,-0.203368,-0.128002,-0.247523,-0.476035,-0.670643,-0.683028,-0.866546,-0.913167,-0.745806,-0.763851,-0.684172,-0.733453,-0.864715,-0.473939,-0.625498,-0.643367,0.350649,0.251462,-0.69161,-0.415385,-0.869318,-0.592677,-0.955923,-0.82448
1,-0.905605,-0.931419,-0.973719,-0.908702,-0.859498,-0.761354,-0.732143,-0.601764,-0.723382,-0.677678,-0.770878,-0.713072,-0.513459,-0.358565,-0.358812,-0.47873,-0.255207,0.258597,0.425836,0.715967,0.931282,0.968715,0.889795,0.597582,0.351025,-0.0714836,-0.451833,-0.887196,-0.213677,-0.631192,-0.689809,-0.8133,-0.739578,-0.546582,-0.536463,-0.280444,-0.337197,-0.749194,-0.869703,-0.788235,-0.841807,-0.808791,-0.640243,-0.788972,-0.807222,-0.818157,-0.56465,-0.585505,-0.846542,-0.355152,-0.653386,-0.520685,-0.366234,-0.54386,-0.582766,-0.923077,-0.681818,-0.748284,-0.680441,-0.879908
1,-0.889381,-0.951993,-0.843627,-0.795055,-0.426832,-0.200752,-0.26461,-0.588975,-0.739375,-0.490347,-0.544307,-0.322685,0.11962,-0.440033,-0.424215,0.0510889,-0.238835,-0.751481,-0.467705,-0.304152,-0.361298,-0.137307,0.240013,-0.106239,0.182172,0.711422,0.652274,0.520173,0.0018263,-0.146266,0.0676839,0.116828,-0.29287,-0.281611,0.468549,0.548589,-0.233107,-0.940938,-0.301497,0.306536,-0.270411,-0.449084,-0.432303,-0.213862,-0.449247,-0.569391,-0.826512,-0.677748,-0.8526,-0.835152,-0.62749,-0.854494,-0.532468,0.0760234,-0.664399,-0.241026,-0.119318,-0.771167,0.0358127,-0.556582
1,-0.839233,-0.633948,-0.613009,-0.814075,-0.731169,-0.864015,-0.730519,-0.872988,-0.710647,-0.425997,-0.616901,-0.512016,-0.181805,-0.639889,-0.887451,-0.546509,-0.314475,-0.286442,0.143488,0.207834,0.114882,-0.109498,-0.176433,-0.292695,0.271721,0.766494,0.785272,-0.0333471,-0.352881,-0.629914,-0.76654,-0.267131,-0.188701,-0.391627,-0.427023,-0.187702,0.126175,-0.220963,0.0811723,0.067756,-0.357962,-0.329426,-0.391957,-0.407885,-0.671595,-0.801426,-0.775081,-0.809524,-0.545684,-0.595152,-0.844622,-0.78602,-0.72987,-0.0409357,-0.174603,-0.74359,-0.369318,-0.116705,-0.195592,-0.741339
1,-0.582596,-0.477925,-0.582786,-0.589634,-0.214811,0.178178,0.159632,-0.127674,-0.590108,-0.788646,-0.379838,-0.00087925,-0.253491,-0.473445,-0.356806,-0.150621,0.0960522,-0.131429,-0.189144,0.236515,-0.279089,-0.638074,-0.369079,0.828911,0.871107,-0.185153,-0.518857,0.3028,0.599838,-0.235752,0.026703,0.473377,0.116245,0.839322,0.562852,0.421976,0.588454,-0.164396,-0.443812,-0.336383,-0.432774,-0.305983,-0.86396,-0.518938,-0.55843,-0.552112,-0.546541,-0.551962,-0.543665,-0.844848,-0.693227,-0.934379,-0.231169,-0.643275,-0.0657596,-0.630769,-0.153409,-0.789474,0.0964187,-0.690531
1,-0.50295,-0.905701,-0.884363,-0.804565,-0.660157,-0.417898,-0.107143,-0.344653,-0.588035,-0.199485,-0.421806,-0.41354,-0.341874,-0.734557,-0.305848,-0.359658,-0.595897,-0.620156,-0.579424,-0.256849,-0.442243,0.221143,0.121331,-0.353345,-0.524385,0.03051,0.610253,0.370317,0.38819,0.714499,0.187575,-0.26758,0.317442,0.798622,0.557533,0.506452,0.189154,-0.0995113,-0.814253,0.300654,0.612507,0.44591,-0.112634,-0.535429,-0.323856,-0.0608886,-0.165882,-0.587302,-0.781928,0.13697,-0.151394,-0.0356633,-0.205195,-0.157895,-0.53288,-0.774359,-0.477273,-0.94508,-0.603306,-0.718245
1,-0.738938,-0.484784,-0.761498,-0.659534,-0.329952,-0.619995,-0.710498,-0.927674,-0.71509,-0.693122,-0.731178,-0.599941,-0.0395854,-0.132515,-0.250075,0.13963,0.259351,0.332987,0.401851,0.0295377,0.0301433,0.256109,0.544135,0.540211,0.135246,-0.131843,-0.222607,-0.552697,-0.883929,-1,-0.70921,-0.08133,0.154888,-0.242607,-0.535236,0.147379,0.858955,0.669128,-0.325532,-0.342919,0.328547,0.543834,-0.299366,-0.634373,-0.64174,-0.646736,-0.713872,-0.503444,-0.475013,-0.476364,-0.282869,-0.0784593,-0.345455,-0.356725,-0.537415,-0.897436,-0.761364,-0.844394,-0.38843,-0.681293
1,-0.623894,-0.926275,-0.914586,-0.895388,-0.825006,-0.647944,-0.462662,-0.522381,-0.787058,-0.597598,-0.606976,-0.667644,-0.661149,-0.778901,-0.576086,0.0567881,0.343073,0.0857143,-0.453187,-0.449914,-0.174115,0.0947756,0.106072,0.215859,0.617213,0.960128,0.962811,0.828324,0.47707,0.517631,0.741907,0.560998,0.300851,0.244515,0.230643,0.187903,0.172972,0.0105022,-0.461733,-0.69085,-0.619456,-0.517705,-0.4292,-0.541871,-0.615297,-0.623423,-0.728721,-0.717281,-0.671883,-0.566061,-0.910359,-0.783167,-0.974026,-0.953216,-0.718821,-0.820513,-0.335227,-0.409611,-0.619835,-0.621247
1,-0.836283,-0.877411,-0.588699,-0.203994,0.267056,0.320613,0.57684,0.788313,0.453576,0.660804,0.571813,0.51905,0.522384,0.039703,-0.00692146,0.388765,0.646047,0.550961,0.624448,0.863656,1,0.841325,0.542015,0.0718164,-0.114344,0.101663,0.043597,-0.241046,-0.850244,-0.622457,-0.668011,-0.958886,-0.565893,-0.619078,-0.978316,-0.704234,-0.811721,-0.570968,-0.409656,-0.329412,-0.376723,-0.809524,-0.672572,-0.644164,-0.676997,-0.858475,-0.97356,-0.833483,-0.624432,-0.706667,-0.695219,-0.760342,-0.844156,-0.48538,-0.478458,-0.989744,0.0113636,-0.583524,-0.366391,-0.736721
1,-0.324484,-0.568796,-0.471748,-0.43224,-0.129597,0.59527,0.609848,0.0174201,0.112098,0.042757,-0.225294,-0.216589,-0.390528,-0.765288,-0.688835,-0.538368,-0.145166,0.161351,0.314959,0.565283,0.645658,0.552806,0.708806,0.460916,-0.204508,-0.631017,-0.388381,-0.278716,-0.118506,0.207628,0.518692,0.555605,0.517799,0.623317,0.191572,0.165323,0.319484,0.434127,0.247101,0.13268,-0.140938,-0.576313,-0.579723,-0.348879,-0.458914,-0.549369,-0.781239,-0.874813,-0.559818,-0.575758,-0.786853,-0.472183,-0.412987,-0.684211,-0.836735,-0.74359,-0.738636,-0.638444,-0.85124,-0.903002
1,-0.0427729,-0.512216,-0.456636,-0.850689,-0.801674,-0.640419,-0.600649,-0.52591,-0.325337,-0.50665,-0.268396,0.140973,-0.00302289,-0.647107,-0.436453,-0.210869,0.137291,0.333403,0.17652,-0.100599,-0.423693,-0.633166,-0.678076,-0.703514,-0.540164,-0.600176,-0.474104,-0.100247,0.389205,0.461809,0.62921,0.702314,0.310091,0.426603,0.476322,0.630847,0.872075,1,0.767236,0.512854,0.492299,0.426618,0.194362,-0.0623551,-0.575775,-0.666484,-0.526983,-0.28242,-0.416456,-0.430303,-0.731076,-0.620542,-0.038961,-0.807018,-0.863946,-0.887179,-0.880682,-0.272311,-0.404959,-0.662818
1,-0.876106,-0.590227,-0.813403,-0.886353,-0.703272,-0.475947,0.260823,0.0275634,-1,-0.494065,-0.669077,-0.514654,-0.138621,-0.779932,-0.57107,-0.532668,-0.535799,-0.499013,-0.62045,-1,-0.804174,-0.803701,-0.765815,-0.683639,-0.541803,-0.636744,-0.883391,0.044051,0.416396,0.209758,-0.0683379,0.260616,0.41363,0.276524,0.125499,0.500605,0.82834,0.844442,0.968796,1,1,0.918193,0.448338,-0.268745,0.253057,0.510422,0.568635,0.740042,1,0.888485,-0.211155,-0.529244,-0.251948,-0.385965,-0.111111,-0.307692,-0.852273,-0.281465,-0.421488,-0.408776
1,-0.852507,-0.876554,-0.920499,-0.991441,-0.926959,-0.48616,-0.464286,-0.830209,-0.746483,-0.822394,-0.872111,-0.88687,-0.749244,-0.812313,-0.660949,-0.507022,-0.402549,-0.284779,-0.211235,-0.2378,-0.17011,-0.211533,-0.418671,-0.226923,-0.134016,-0.05342,0.48566,0.897695,1,0.804836,0.70049,0.6102,0.424971,0.259141,0.116293,0.144556,0.0874699,-0.316003,-0.726334,-0.836819,-0.933758,-0.551893,-0.306091,-0.25612,-0.334376,-0.542512,-0.63238,-0.284217,-0.289248,-0.595152,-0.786853,-0.763195,-0.942857,-0.567251,-0.736961,-0.887179,-0.852273,-0.844394,-0.619835,-0.838337
1,-0.589971,-0.453065,-0.753614,-0.945316,-0.792544,-0.616232,-0.480519,-0.885336,-0.804235,-0.786358,-0.964554,-0.930832,-0.812581,-0.862844,-0.712108,-0.868309,-0.827997,-0.625143,-
